Q2,62.63,2.91,270.00,20V/4.2A/52mΩ/1.4W,ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3
Q3,52.05,-6.44,90.00,SI1308EDL-T1-GE3,SOT65P210X110-3N
R1,19.34,22.74,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R10,36.02,11.44,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_BAT,120.06,24.96,0.00,200,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PINH,154.33,-14.92,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PINH1,89.61,28.90,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PWRUSB,115.52,16.55,90.00,100K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2,51.23,-9.78,0.00,2.2,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH,155.89,-14.92,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH1,89.77,39.70,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB,151.99,22.45,180.00,5K1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB1,152.27,23.48,0.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,128.78,28.24,90.00,2K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,59.60,3.08,90.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,57.99,3.12,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,32.01,28.62,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,53.83,-12.18,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,9.85,77.22,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,40.77,11.42,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,39.19,11.42,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,24.09,85.67,180.00,BUTTON_CUSYOMV1,MYBUTTON
RX,108.73,-21.10,0.00,TPTP20R,TP20R
R_BOOT,60.58,85.58,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,85.12,26.05,0.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,45.69,85.75,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,55.45,-7.26,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
